iteration,mean_acc,std_acc,mean_loss,std_loss,mode
0,0.15333333611488342,0.0,93.71748352050781,0.0,train
0,0.32993334034085275,0.06802349472105076,4.414840088248253,1.2312159072863988,validation
500,0.2199999988079071,0.0,8.60401439666748,0.0,train
500,0.3994266759455204,0.07818968758363944,2.3857902855873108,0.4407519182190429,validation
1000,0.15333333611488342,0.0,3.1944005489349365,0.0,train
1000,0.39004000878334044,0.07571055190718465,1.4615165252685547,0.1330672599281413,validation
1500,0.1599999964237213,0.0,2.6278462409973145,0.0,train
1500,0.3981733421087265,0.07481916938601767,1.4278447479009628,0.08870284688170103,validation
2000,0.1133333370089531,0.0,2.470304489135742,0.0,train
2000,0.40880000971257685,0.07469571160546211,1.4298450731039047,0.07620573199288093,validation
2500,0.2199999988079071,0.0,2.2924885749816895,0.0,train
2500,0.42580001029372216,0.07619714477441779,1.4260101072788238,0.07137094251961901,validation
3000,0.12666666507720947,0.0,2.3423218727111816,0.0,train
3000,0.4371600102484226,0.07826522833023973,1.4178202067613601,0.07165076412476891,validation
3500,0.1733333319425583,0.0,2.230198860168457,0.0,train
3500,0.4560000104904175,0.08022191709389033,1.3980083109140395,0.07438018129712819,validation
4000,0.18000000715255737,0.0,2.1903374195098877,0.0,train
4000,0.46693334497511385,0.08049580004924317,1.3949427802562713,0.07124545909262342,validation
4500,0.25333333015441895,0.0,2.1568427085876465,0.0,train
4500,0.4727866781055927,0.0816304090046891,1.3773257757425308,0.08155365460091876,validation
5000,0.2133333384990692,0.0,2.1227285861968994,0.0,train
5000,0.4845733450204134,0.0824614147917537,1.372536924123764,0.07721023382995988,validation
5500,0.18000000715255737,0.0,2.241708278656006,0.0,train
5500,0.49144001191854475,0.08296702240795362,1.3579982026815414,0.0838181985171564,validation
6000,0.18666666746139526,0.0,2.1545796394348145,0.0,train
6000,0.5088133455514908,0.08392280048798631,1.339924095749855,0.08405089349841038,validation
6500,0.2266666740179062,0.0,2.1300950050354004,0.0,train
6500,0.5130133456289768,0.0836005589817287,1.3145645233392715,0.0879760334409759,validation
7000,0.3466666638851166,0.0,1.9406943321228027,0.0,train
7000,0.5202266790270805,0.08293581213491978,1.3223696250915526,0.08424537460752578,validation
7500,0.2133333384990692,0.0,2.1097912788391113,0.0,train
7500,0.5225733450353146,0.08438615135288256,1.309927877664566,0.09123810479203172,validation
8000,0.19333334267139435,0.0,2.134371757507324,0.0,train
8000,0.5247733452618122,0.08379640636521592,1.302298897266388,0.09026239987611524,validation
8500,0.273333340883255,0.0,2.0785021781921387,0.0,train
8500,0.5406666790544987,0.08576919999584806,1.286952394247055,0.09333047412184789,validation
9000,0.3333333432674408,0.0,1.8607736825942993,0.0,train
9000,0.5400000117123127,0.08479413047126026,1.2604278836250304,0.09835081180300277,validation
9500,0.35333335399627686,0.0,1.8732032775878906,0.0,train
9500,0.5422000131011009,0.0864250751055224,1.2553289228081703,0.10240507249256706,validation
10000,0.4333333373069763,0.0,1.5129804611206055,0.0,train
10000,0.5454000119268895,0.08863004346867874,1.2470012789964675,0.10366357068284392,validation
10500,0.2266666740179062,0.0,2.084399938583374,0.0,train
10500,0.5520266792476177,0.08579499736709416,1.2405374244451524,0.10000946851991083,validation
11000,0.3333333432674408,0.0,1.8966835737228394,0.0,train
11000,0.5572666786015034,0.08973142707774567,1.2280442843437194,0.10716179125665115,validation
11500,0.31333333253860474,0.0,1.8539572954177856,0.0,train
11500,0.5597866797745228,0.08865989483931609,1.2198236184716225,0.10669099566702109,validation
12000,0.20666667819023132,0.0,2.0677645206451416,0.0,train
12000,0.5633066796064377,0.08872278689991626,1.219127419412136,0.1056038927020601,validation
12500,0.4000000059604645,0.0,1.658225655555725,0.0,train
12500,0.5636400128602982,0.0870417237273478,1.215121300160885,0.1069943436390841,validation
13000,0.4266666769981384,0.0,1.7481353282928467,0.0,train
13000,0.5637466792762279,0.08695136772357918,1.216248731136322,0.10329017193815831,validation
13500,0.31333333253860474,0.0,1.9738444089889526,0.0,train
13500,0.5717466796934605,0.08854662533012707,1.2076810612678528,0.10772348937846302,validation
14000,0.3733333349227905,0.0,1.8026299476623535,0.0,train
14000,0.5693866786956787,0.08550439613022866,1.2035530282855034,0.10931398217612055,validation
14500,0.3199999928474426,0.0,1.828416109085083,0.0,train
14500,0.5683866783678532,0.08683610015870105,1.1844325767159463,0.1139013007309737,validation
15000,0.25333333015441895,0.0,2.082388162612915,0.0,train
15000,0.5757866798043251,0.08803246406845083,1.1843033051490783,0.1131419076931691,validation
15500,0.30000001192092896,0.0,1.902160406112671,0.0,train
15500,0.5751333461999893,0.0874759909073814,1.1900303939580916,0.11003394630337193,validation
16000,0.4399999976158142,0.0,1.5678433179855347,0.0,train
16000,0.5748933465480804,0.08776869740116532,1.182647466957569,0.11118406991258369,validation
16500,0.1599999964237213,0.0,2.326819658279419,0.0,train
16500,0.567586679250002,0.08595527417726109,1.1958185150027274,0.10721205263761387,validation
17000,0.25333333015441895,0.0,2.2916414737701416,0.0,train
17000,0.5771466792821884,0.09013392997077031,1.1821743633747102,0.11210683291333143,validation
17500,0.30000001192092896,0.0,2.0699303150177,0.0,train
17500,0.5801200134158134,0.09000140213402041,1.1688362922668456,0.11995133624025395,validation
18000,0.29333335161209106,0.0,2.0053086280822754,0.0,train
18000,0.5776266797482967,0.08935951586768717,1.1889571856856347,0.11094042913260556,validation
18500,0.40666666626930237,0.0,1.7565172910690308,0.0,train
18500,0.5842933455705642,0.08930578343916039,1.1669379199147225,0.11515361732982386,validation
