iteration,mean_acc,std_acc,mean_loss,std_loss,mode
0,0.21666666865348816,0.0,48.5322151184082,0.0,train
0,0.25290667167305947,0.05552973464565888,11.447445362329484,3.8094059563437837,validation
500,0.2199999988079071,0.0,2.992281198501587,0.0,train
500,0.24392000497877597,0.05162869946416716,8.580908086299896,2.999616585759966,validation
1000,0.25,0.0,2.5418002605438232,0.0,train
1000,0.2802533391788602,0.06789356376442103,4.197641541242599,1.322367068843199,validation
1500,0.28333333134651184,0.0,2.3934051990509033,0.0,train
1500,0.30196000687777996,0.07345250024237393,3.313830893397331,0.9583998803493375,validation
2000,0.3333333432674408,0.0,2.168306589126587,0.0,train
2000,0.3227200069129467,0.07718420768309017,2.86646333026886,0.7783565698030454,validation
2500,0.3100000023841858,0.0,2.221205949783325,0.0,train
2500,0.33412000762671235,0.07760815597884538,2.727313109636307,0.7195557764376053,validation
3000,0.3933333456516266,0.0,1.9248449802398682,0.0,train
3000,0.3560400079190731,0.08273200990555515,2.564346431195736,0.6664051430128057,validation
3500,0.3466666638851166,0.0,2.163926362991333,0.0,train
3500,0.3596133412271738,0.08511238184074876,2.5423444082140922,0.675043893869155,validation
4000,0.33000001311302185,0.0,2.0846145153045654,0.0,train
4000,0.36870667470991614,0.08592771501642084,2.479721737384796,0.6468747362959452,validation
4500,0.44333335757255554,0.0,1.7943204641342163,0.0,train
4500,0.3684666748344898,0.08536642815303759,2.3394915015697477,0.5885047030726748,validation
5000,0.43666666746139526,0.0,1.807569980621338,0.0,train
5000,0.38172000835835934,0.09041667691383677,2.386279061496258,0.6198689831919666,validation
5500,0.4166666865348816,0.0,1.897867202758789,0.0,train
5500,0.38020000882446764,0.08817737420332016,2.342167816877365,0.6055042332522982,validation
6000,0.4399999976158142,0.0,1.875864863395691,0.0,train
6000,0.3910933420062065,0.09015717457132598,2.3373065587282182,0.6011601002878474,validation
6500,0.39666667580604553,0.0,1.9899101257324219,0.0,train
6500,0.3885466754436493,0.09008945783470215,2.337106107354164,0.6054474014546504,validation
7000,0.4399999976158142,0.0,1.830858588218689,0.0,train
7000,0.39696000860631464,0.09223161037210657,2.349666575729847,0.6223752801637148,validation
7500,0.49666666984558105,0.0,1.665970802307129,0.0,train
7500,0.3987733425348997,0.09240446281768577,2.387172603964806,0.636528135932123,validation
8000,0.4466666877269745,0.0,1.7139118909835815,0.0,train
8000,0.39916000927984713,0.09321614941396457,2.271159237444401,0.5993466596329566,validation
8500,0.4233333468437195,0.0,1.7097721099853516,0.0,train
8500,0.4003200087994337,0.09302943566471343,2.2810456886291504,0.5945709437260193,validation
9000,0.4466666877269745,0.0,1.7261600494384766,0.0,train
9000,0.4028666758984327,0.09397189001518554,2.3438933262228967,0.6469465654528279,validation
9500,0.4633333384990692,0.0,1.8170863389968872,0.0,train
9500,0.39224000884592536,0.08922707932293669,2.3311855745911596,0.6143090535470015,validation
10000,0.4633333384990692,0.0,1.7198150157928467,0.0,train
10000,0.4017066762149334,0.09268308659436798,2.337234490394592,0.6315884055205205,validation
10500,0.4533333480358124,0.0,1.8101930618286133,0.0,train
10500,0.4011733429580927,0.09433204632875354,2.350923977315426,0.6474573046638727,validation
11000,0.36666667461395264,0.0,1.945688247680664,0.0,train
11000,0.40173334211111067,0.09101804688669297,2.4192911788225175,0.6583430817366668,validation
11500,0.4866666793823242,0.0,1.7293245792388916,0.0,train
11500,0.4069466761648655,0.09376998979876797,2.412713812291622,0.6741203228912188,validation
12000,0.39000001549720764,0.0,1.879445195198059,0.0,train
12000,0.4010000094473362,0.09237544459165198,2.3803811578154566,0.6602733775122387,validation
12500,0.5,0.0,1.5268762111663818,0.0,train
12500,0.40289334277808664,0.09217945122419462,2.4210476018190383,0.6771646169967497,validation
13000,0.4033333361148834,0.0,1.779382348060608,0.0,train
